age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,admin.,married,secondary,no,2115.095128578612,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes
56,admin.,married,secondary,no,1872.7360662805493,no,no,unknown,5,may,1467,1,-1,0,unknown,yes
41,technician,married,secondary,no,1761.923245537418,yes,no,unknown,5,may,1389,1,-1,0,unknown,no
55,services,married,secondary,no,2649.3847196473994,yes,no,unknown,5,may,579,1,-1,0,unknown,yes
54,admin.,married,tertiary,no,-734.715873436823,no,no,unknown,5,may,673,2,-1,0,unknown,no
42,management,single,tertiary,no,-918.8378365704367,yes,yes,unknown,5,may,562,2,-1,0,unknown,no
56,management,married,tertiary,no,-868.1683228376658,yes,yes,unknown,6,may,1201,1,-1,0,unknown,no
60,retired,divorced,secondary,no,1584.7651536717376,yes,no,unknown,6,may,1030,1,-1,0,unknown,no
37,technician,married,secondary,no,179.22791895314916,yes,no,unknown,6,may,608,1,-1,0,unknown,yes
28,services,single,secondary,no,5514.4803510810525,yes,no,unknown,6,may,1297,3,-1,0,unknown,yes
38,admin.,single,secondary,no,-2416.4742381531046,yes,no,unknown,7,may,786,1,-1,0,unknown,yes
30,blue-collar,married,secondary,no,2525.9811579437433,yes,no,unknown,7,may,1574,2,-1,0,unknown,yes
29,management,married,tertiary,no,1061.4315116147532,yes,yes,unknown,7,may,1689,4,-1,0,unknown,yes
46,blue-collar,single,tertiary,no,-215.58634319483076,yes,no,unknown,7,may,1102,2,-1,0,unknown,yes
31,technician,single,tertiary,no,-94.9679797883781,yes,no,unknown,8,may,943,2,-1,0,unknown,yes
35,management,divorced,tertiary,no,3045.855258089848,yes,no,unknown,8,may,1084,1,-1,0,unknown,yes
32,blue-collar,single,primary,no,219.1139950152882,yes,no,unknown,8,may,541,3,-1,0,unknown,yes
49,services,married,secondary,no,32.05811718012326,yes,no,unknown,8,may,1119,1,-1,0,unknown,no
41,admin.,married,secondary,no,-60.41590498091361,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes
49,admin.,divorced,secondary,no,-258.3695085571802,yes,yes,unknown,8,may,513,1,-1,0,unknown,yes
28,admin.,divorced,secondary,no,984.7545191029155,yes,no,unknown,8,may,442,2,-1,0,unknown,yes
43,management,single,tertiary,no,1059.968942406432,yes,no,unknown,8,may,756,1,-1,0,unknown,yes
43,management,divorced,tertiary,no,-35.89358051814867,yes,no,unknown,8,may,2087,2,-1,0,unknown,yes
